C:\Users\luiso\CLionProjects\questao1\cmake-build-debug\questao1_principal.exe
Quest├úo 1 - Itens: A e G:
1 - 3 produtores e 1 consumidor
2 - 6 produtores e 2 consumidores
Digite sua escolha (1 ou 2):1
 (P) TID: 1 | VALOR: R$ 42 | ITERACAO: 1
(P) TID: 1 | VALOR: R$ 870 | ITERACAO: 18
(P) TID: 2 | VALOR: R$ 668 | ITERACAO: 19
(C) TID: 4 | MEDIA: R$ 810.00 | ITERACAO: 11
(P) TID: 3 | VALOR: R$ 668 | ITERACAO: 19
(P) TID: 1 | VALOR: R$ 668 | ITERACAO: 19
(P) TID: 2 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 3 | VALOR: R$ 36 | ITERACAO: 20
(P) TID: 1 | VALOR: R$ 36 | ITERACAO: 20
(C) TID: 4 | MEDIA: R$ 288.80 | ITERACAO: 12
(P) TID: 2 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 1 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 3 | VALOR: R$ 704 | ITERACAO: 21
(P) TID: 2 | VALOR: R$ 323 | ITERACAO: 22
(P) TID: 1 | VALOR: R$ 323 | ITERACAO: 22
(C) TID: 4 | MEDIA: R$ 551.60 | ITERACAO: 13
(P) TID: 3 | VALOR: R$ 323 | ITERACAO: 22
(P) TID: 2 | VALOR: R$ 674 | ITERACAO: 23
(P) TID: 1 | VALOR: R$ 674 | ITERACAO: 23
(P) TID: 3 | VALOR: R$ 674 | ITERACAO: 23
(P) TID: 2 | VALOR: R$ 142 | ITERACAO: 24
(C) TID: 4 | MEDIA: R$ 497.40 | ITERACAO: 14
(P) TID: 3 | VALOR: R$ 142 | ITERACAO: 24
(P) TID: 1 | VALOR: R$ 142 | ITERACAO: 24
(P) TID: 2 | VALOR: R$ 254 | ITERACAO: 25
(P) TID: 1 | VALOR: R$ 254 | ITERACAO: 25
(P) TID: 3 | VALOR: R$ 254 | ITERACAO: 25
(C) TID: 4 | MEDIA: R$ 209.20 | ITERACAO: 15
(P) TID: 2 | VALOR: R$ 548 | ITERACAO: 26
(P) TID: 1 | VALOR: R$ 548 | ITERACAO: 26
(P) TID: 3 finalizou
(P) TID: 2 | VALOR: R$ 663 | ITERACAO: 27
(P) TID: 1 | VALOR: R$ 663 | ITERACAO: 27
(P) TID: 2 | VALOR: R$ 38 | ITERACAO: 28
(C) TID: 4 | MEDIA: R$ 492.00 | ITERACAO: 16
(P) TID: 1 finalizou
(P) TID: 2 finalizou
(C) TID: 4 finalizou
Tempo total: 93.45 s

Process finished with exit code 0
